f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,target
0,0,0,0,-7,0,0,1,0,-7,0,0,0,0,-7,0,1,0,0,-7,-7,-7,-7,-7,-7,down
0,0,1,0,-7,0,0,-1,0,-7,0,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,left
0,0,0,1,0,0,0,0,-1,0,0,0,0,-1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,up
1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,-1,-1,0,-7,-7,-7,-7,-7,up
0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,-1,-1,0,right
0,0,1,1,-7,0,0,0,0,-7,0,-1,0,0,-7,0,-1,-1,0,-7,0,-1,-1,0,-7,up
-7,-7,-7,-7,-7,0,0,1,1,-7,0,0,0,0,-7,0,-1,-1,0,-7,0,-1,-1,0,-7,up
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,1,-7,0,0,-1,0,-7,0,-1,-1,0,-7,right
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,right
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-1,0,0,-7,0,1,0,0,-7,1,0,0,0,-7,down
-7,-7,-7,-7,-7,0,-1,-1,0,-7,0,1,0,0,-7,1,0,0,0,-7,0,0,0,0,-7,left
-7,-7,-7,-7,-7,1,0,-1,-1,0,0,0,0,-1,0,0,1,0,0,0,1,0,0,0,0,left
-7,-7,-7,-7,-7,-7,1,0,-1,-1,-7,0,0,-1,-1,-7,0,1,0,0,-7,1,0,0,0,down
-7,1,0,-1,-1,-7,0,-1,-1,-1,-7,0,0,0,0,-7,1,0,0,0,-7,0,0,0,0,down
-7,0,-1,-1,-1,-7,0,-1,0,0,-7,1,0,0,0,-7,0,0,0,0,-7,-7,-7,-7,-7,left
-7,-7,0,-1,-1,-7,-7,0,-1,0,-7,-7,0,-1,0,-7,-7,0,0,0,-7,-7,-7,-7,-7,up
-7,-7,1,0,-1,-7,-7,0,-1,-1,-7,-7,0,-1,0,-7,-7,-1,-1,0,-7,-7,0,0,0,up
-7,-7,-7,-7,-7,-7,-7,1,0,-1,-7,-7,0,-1,-1,-7,-7,-1,-1,0,-7,-7,-1,-1,0,up
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,-7,-7,0,0,0,-7,-7,1,0,0,right
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-1,0,0,0,-7,0,0,0,1,-7,1,0,0,1,right
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-1,-1,0,0,0,0,0,0,1,0,1,0,0,1,0,right
