f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,target
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,up
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,left
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,right
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,right
0,0,1,0,-12,0,0,0,0,-12,0,0,0,0,-12,0,0,0,1,-12,0,0,0,1,-12,up
-12,-12,-12,-12,-12,0,0,1,0,-12,0,0,0,0,-12,0,0,0,0,-12,0,0,0,1,-12,up
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0,0,1,0,-12,0,0,0,0,-12,0,0,0,0,-12,right
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0,1,0,-12,-12,0,0,0,-12,-12,0,0,0,-12,-12,down
-12,-12,-12,-12,-12,0,1,0,-12,-12,0,0,0,-12,-12,0,0,0,-12,-12,0,0,1,-12,-12,down
0,1,0,-12,-12,0,0,0,-12,-12,0,0,0,-12,-12,0,0,1,-12,-12,0,0,1,-12,-12,down
0,0,0,-12,-12,0,0,0,-12,-12,0,0,1,-12,-12,0,0,1,-12,-12,0,0,0,-12,-12,down
0,0,0,-12,-12,0,0,1,-12,-12,0,0,1,-12,-12,0,0,0,-12,-12,0,1,0,-12,-12,down
0,0,1,-12,-12,0,0,1,-12,-12,0,0,0,-12,-12,0,1,0,-12,-12,0,0,0,-12,-12,down
0,0,1,-12,-12,0,0,0,-12,-12,0,1,0,-12,-12,0,0,0,-12,-12,0,0,0,-12,-12,left
0,0,0,1,-12,1,0,0,0,-12,0,0,1,0,-12,0,0,0,0,-12,0,0,0,0,-12,left
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,up
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,right
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0,0,0,-12,-12,0,0,0,-12,-12,0,0,1,-12,-12,left
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0,0,0,0,-12,0,0,0,0,-12,0,0,0,1,-12,left
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,left
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,left
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,down
-12,-12,-12,-12,-12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,left
-12,-12,-12,-12,-12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,left
-12,-12,-12,-12,-12,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,left
-12,-12,-12,-12,-12,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,left
-12,-12,-12,-12,-12,-12,0,0,0,0,-12,0,1,0,0,-12,0,1,0,0,-12,0,1,0,0,down
-12,0,0,0,0,-12,0,1,0,0,-12,0,1,0,0,-12,0,1,0,0,-12,0,0,0,0,down
-12,0,1,0,0,-12,0,1,0,0,-12,0,1,0,0,-12,0,0,0,0,-12,0,0,0,0,down
-12,0,1,0,0,-12,0,1,0,0,-12,0,0,0,0,-12,0,0,0,0,-12,0,0,0,0,down
-12,0,1,0,0,-12,0,0,0,0,-12,0,0,0,0,-12,0,0,0,0,-12,1,0,0,0,down
-12,0,0,0,0,-12,0,0,0,0,-12,0,0,0,0,-12,1,0,0,0,-12,0,0,0,0,down
-12,0,0,0,0,-12,0,0,0,0,-12,1,0,0,0,-12,0,0,0,0,-12,0,0,0,0,left
-12,-12,0,0,0,-12,-12,0,0,0,-12,-12,1,0,0,-12,-12,0,0,0,-12,-12,0,0,0,down
-12,-12,0,0,0,-12,-12,1,0,0,-12,-12,0,0,0,-12,-12,0,0,0,-12,-12,-12,-12,-12,down
-12,-12,1,0,0,-12,-12,0,0,0,-12,-12,0,0,0,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,right
-12,1,0,0,0,-12,0,0,0,0,-12,0,0,0,0,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,right
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,up
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-12,-12,-12,-12,-12,left
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-12,-12,-12,-12,-12,left
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-12,-12,-12,-12,-12,up
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,right
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,up
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,left
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,up
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,right
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,up
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,up
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,up
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,up
-12,-12,-12,-12,-12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,right
-12,-12,-12,-12,-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,up
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,right
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,right
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0,0,0,0,-12,0,0,0,1,-12,0,0,0,0,-12,right
-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0,0,0,-12,-12,0,0,1,-12,-12,0,0,0,-12,-12,down
-12,-12,-12,-12,-12,0,0,0,-12,-12,0,0,1,-12,-12,0,0,0,-12,-12,0,0,0,-12,-12,down
0,0,0,-12,-12,0,0,0,-12,-12,0,1,0,-12,-12,1,0,0,-12,-12,1,0,0,-12,-12,down
0,0,0,-12,-12,0,1,0,-12,-12,1,0,0,-12,-12,1,0,0,-12,-12,0,0,0,-12,-12,down
0,1,0,-12,-12,1,0,0,-12,-12,1,0,0,-12,-12,0,0,0,-12,-12,0,0,0,-12,-12,left
1,0,1,0,-12,0,1,0,0,-12,0,1,0,0,-12,1,0,0,0,-12,0,0,0,0,-12,left
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,down
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,left
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,left
0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,left
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,up
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,up
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,up
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,right
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,right
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,right
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,down
0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,right
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,down
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-12,-12,-12,-12,-12,up
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,down
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-12,-12,-12,-12,-12,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-12,-12,-12,-12,up
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,up
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,up
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,right
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,down
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,down
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,right
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,right
0,0,0,0,-12,0,0,0,0,-12,0,1,0,0,-12,0,0,1,1,-12,0,0,0,0,-12,down
0,0,0,0,-12,0,1,0,0,-12,0,0,1,1,-12,0,0,0,0,-12,-12,-12,-12,-12,-12,right
0,0,0,-12,-12,1,0,0,-12,-12,0,1,1,-12,-12,0,0,0,-12,-12,-12,-12,-12,-12,-12,down
